Symbol,Cluster
GRMN,0
BBY,0
NWL,0
BAC,0
HUM,0
ITW,0
CFG,0
JBHT,0
AVY,0
AVGO,0
DE,0
GWW,0
NTRS,0
JPM,0
APTV,0
APH,0
GOOGL,0
KEY,0
ISRG,0
PWR,0
HBAN,0
URI,0
NKE,0
CBRE,0
TIF,0
INTC,0
CAT,0
CAH,0
RF,0
C,0
RTX,0
TFC,0
WFC,0
WY,0
BMY,0
CTL,0
USB,0
CTXS,0
SWKS,0
WRK,0
HFC,0
MU,0
PSX,0
MS,0
LW,0
LYB,0
CI,0
EMR,0
MAS,0
ROK,0
LUV,0
MCHP,0
PCAR,0
FAST,0
MGM,0
CMI,0
ABBV,0
SWK,0
VRTX,0
PH,0
GOOG,0
ZBRA,0
NVDA,0
HII,0
DOV,0
PPL,0
AMP,0
AMGN,0
LEG,0
PPG,0
LOW,0
VLO,0
FTNT,0
PNC,0
LKQ,0
ALK,0
ORLY,0
FRC,0
PKG,0
FITB,0
DVA,0
TPR,1
CNP,1
MO,1
CTSH,1
HBI,1
PXD,1
DD,1
GLW,1
FTV,1
FFIV,1
FDX,1
EOG,1
ETFC,1
FANG,1
CSCO,1
WMB,1
NLSN,1
RL,1
BEN,1
XOM,1
IVZ,1
JNPR,1
UNM,1
SLB,1
ULTA,1
XLNX,1
TAP,1
ALXN,1
ALGN,1
ALB,1
UAA,1
UA,1
TXT,1
AAL,1
SPG,1
BKR,1
PFE,1
NTAP,1
NBL,1
IPGP,1
HST,1
SEE,1
ROL,1
NFLX,1
CCL,1
CHRW,1
HON,2
TMO,2
PAYX,2
UAL,2
LNT,2
LYV,2
IR,2
MRK,2
HOLX,2
MDLZ,2
FB,2
MET,2
MKC,2
TXN,2
PEAK,2
VFC,2
LIN,2
HLT,2
TMUS,2
UPS,2
HES,2
NDAQ,2
JKHY,2
MXIM,2
GS,2
NWS,2
PEG,2
OKE,2
HRL,2
NWSA,2
IEX,2
GIS,2
UHS,2
O,2
LH,2
GD,2
UDR,2
KMI,2
KMB,2
SYF,2
CB,2
BAX,2
BDX,2
XEL,2
BKNG,2
TEL,2
BSX,2
CAG,2
AZO,2
PEP,2
CCI,2
CF,2
CMCSA,2
WM,2
CMS,2
WLTW,2
COF,2
RSG,2
WHR,2
XRAY,2
ATO,2
ABC,2
ABT,2
ACN,2
ADBE,2
ADI,2
SYK,2
ADP,2
AVB,2
AEE,2
AFL,2
AIV,2
AJG,2
ALL,2
AME,2
AON,2
ARE,2
AEP,2
RE,2
VZ,2
EQR,2
TJX,2
DGX,2
PRGO,2
DUK,2
ES,2
ESS,2
DRE,2
DFS,2
DHR,2
EVRG,2
DLR,2
D,2
ED,2
MMC,2
LEN,3
SO,3
K,3
SPGI,3
KSU,3
KMX,3
ANSS,3
KIM,3
KEYS,3
LDOS,3
ALLE,3
AIZ,3
ZBH,3
