Symbol,Cluster
ITW,5
ETN,1
PWR,3
PVH,5
EXPD,3
PRU,3
F,3
FAST,9
FBHS,4
ETFC,4
FCX,5
PRGO,3
FFIV,4
PNR,1
FITB,5
PNC,6
FLS,6
FMC,8
FRC,4
FDX,3
QRVO,6
RCL,9
EMR,4
TFC,3
COF,1
TEL,3
SWKS,2
SWK,4
STX,5
STT,3
DAL,1
DE,8
DFS,3
SNA,5
SIVB,3
DOV,1
ROK,7
RL,5
RJF,3
RHI,4
RF,3
EMN,4
FTV,1
PKG,2
GE,4
PH,1
JPM,1
KEY,10
NCLH,6
MXIM,3
MU,6
KSU,1
MTB,5
LEG,7
LKQ,5
MS,5
LNC,3
MMM,1
LVS,9
LYB,1
MHK,5
MAR,1
MAS,3
MGM,1
MCHP,5
JBHT,3
CMI,5
ZION,10
IPGP,8
PFG,4
GLW,9
GM,1
PCAR,10
PBCT,1
GS,8
GWW,3
HOG,1
HPE,10
HPQ,7
ODFL,5
IBM,6
NVDA,1
NUE,4
NTRS,4
NTAP,1
INTC,9
IP,2
IPG,1
IR,6
TPR,1
MET,9
AOS,3
WAB,10
CE,10
ADS,6
URI,2
WRK,4
CCL,7
XLNX,8
BAC,1
VFC,7
USB,3
BBY,8
BEN,1
WYNN,8
UAL,9
AMAT,2
AVGO,10
AMP,8
XRX,8
APH,3
WHR,3
AAL,3
CHRW,5
WFC,4
C,8
UNM,5
BWA,5
BK,3
CAT,2
APTV,2
CFG,6
ALB,1
TXT,2
WDC,1
UPS,1
XYL,10
ALK,9
EOG,7
VLO,9
PSX,3
FANG,3
HP,3
HFC,3
HES,10
OXY,3
FTI,1
HBI,8
HBAN,6
APA,8
HAL,6
PXD,6
DVN,3
GPS,2
IVZ,5
CMA,7
CF,8
MOS,5
COP,4
MPC,6
MRO,4
LB,7
XOM,4
KSS,1
CVX,1
NOV,2
DD,6
NBL,6
SLB,7
CXO,6
SCHW,1
JWN,1
NWL,6
ORLY,7
ALGN,9
JCI,6
AKAM,1
WU,3
ADM,7
HCA,1
ABMD,2
ABC,1
ABBV,3
AAP,1
HAS,1
NLSN,1
MCK,6
LUV,1
LH,9
JNPR,9
WMT,1
WMB,5
ALXN,1
WY,4
HUM,1
MYL,1
NFLX,10
NWS,2
KHC,3
HST,1
KMX,5
HSIC,1
AIG,3
NWSA,10
IFF,5
AMD,1
AMGN,1
KMI,5
IRM,5
CI,5
ROST,4
FB,2
BIIB,5
CRM,1
BKR,1
CSCO,2
REGN,3
CVS,2
UHS,2
DIS,3
UNH,5
DVA,2
DISCA,2
ROL,4
ANET,5
DISCK,5
CAH,1
DISH,9
BA,5
CPRT,2
