Symbol,A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AFL,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,ANTM,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BAX,BBY,BDX,BEN,BIIB,BK,BKNG,BKR,BLK,BLL,BMY,BR,BSX,BWA,BXP,C,CAG,CAH,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CE,CERN,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COG,COO,COP,COST,COTY,CPB,CPRT,CRM,CSCO,CSX,CTAS,CTL,CTSH,CTXS,CVS,CVX,CXO,D,DAL,DD,DE,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DLR,DLTR,DOV,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,DXCM,EA,EBAY,ECL,ED,EFX,EIX,EL,EMN,EMR,EOG,EQIX,EQR,ES,ESS,ETFC,ETN,ETR,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FB,FBHS,FCX,FDX,FE,FFIV,FIS,FISV,FITB,FLIR,FLS,FLT,FMC,FRC,FRT,FTI,FTNT,FTV,GD,GE,GILD,GIS,GL,GLW,GM,GOOG,GOOGL,GPC,GPN,GPS,GRMN,GS,GWW,HAL,HAS,HBAN,HBI,HCA,HD,HES,HFC,HIG,HII,HLT,HOG,HOLX,HON,HP,HPE,HPQ,HRB,HRL,HSIC,HST,HSY,HUM,IBM,ICE,IDXX,IEX,IFF,ILMN,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,ITW,IVZ,J,JBHT,JCI,JKHY,JNJ,JNPR,JPM,JWN,K,KEY,KEYS,KHC,KIM,KLAC,KMB,KMI,KMX,KO,KR,KSS,KSU,L,LB,LDOS,LEG,LEN,LH,LHX,LIN,LKQ,LLY,LMT,LNC,LNT,LOW,LRCX,LUV,LVS,LW,LYB,LYV,MA,MAA,MAR,MAS,MCD,MCHP,MCK,MCO,MDLZ,MDT,MET,MGM,MHK,MKC,MKTX,MLM,MMC,MMM,MNST,MO,MOS,MPC,MRK,MRO,MS,MSCI,MSFT,MSI,MTB,MTD,MU,MXIM,MYL,NBL,NCLH,NDAQ,NEE,NEM,NFLX,NI,NKE,NLSN,NOC,NOV,NOW,NRG,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NWS,NWSA,O,ODFL,OKE,OMC,ORCL,ORLY,OXY,PAYC,PAYX,PBCT,PCAR,PEAK,PEG,PEP,PFE,PFG,PG,PGR,PH,PHM,PKG,PKI,PLD,PM,PNC,PNR,PNW,PPG,PPL,PRGO,PRU,PSA,PSX,PVH,PWR,PXD,PYPL,QCOM,QRVO,RCL,RE,REG,REGN,RF,RHI,RJF,RL,RMD,ROK,ROL,ROP,ROST,RSG,RTX,SBAC,SBUX,SCHW,SEE,SHW,SIVB,SJM,SLB,SLG,SNA,SNPS,SO,SPG,SPGI,SRE,STE,STT,STX,STZ,SWK,SWKS,SYF,SYK,SYY,T,TAP,TDG,TEL,TFC,TFX,TGT,TIF,TJX,TMO,TMUS,TPR,TROW,TRV,TSCO,TSN,TTWO,TWTR,TXN,TXT,UA,UAA,UAL,UDR,UHS,ULTA,UNH,UNM,UNP,UPS,URI,USB,V,VAR,VFC,VLO,VMC,VNO,VRSK,VRSN,VRTX,VTR,VZ,WAB,WAT,WBA,WDC,WEC,WELL,WFC,WHR,WLTW,WM,WMB,WMT,WRB,WRK,WU,WY,WYNN,XEL,XLNX,XOM,XRAY,XRX,XYL,YUM,ZBH,ZBRA,ZION,ZTS
A,0,50,24,88,72,48,52,88,100,76,96,66,60,48,80,32,18,28,88,24,38,56,46,30,72,52,24,64,80,92,54,12,50,86,68,66,0,70,38,88,36,66,42,50,54,84,58,56,34,68,38,66,78,12,64,66,36,62,80,66,74,66,86,68,70,62,100,50,66,44,74,52,72,82,28,46,68,44,-38,90,36,74,82,76,80,70,22,72,4,22,42,48,36,44,26,46,62,-2,18,76,16,48,36,88,14,82,54,14,16,18,48,78,54,72,62,2,62,76,72,66,40,38,48,44,50,66,0,66,-6,106,28,36,42,30,20,16,104,14,44,10,40,14,70,56,80,34,42,60,48,26,56,-8,54,60,82,42,44,20,22,30,66,92,28,20,58,18,38,36,14,48,34,66,54,82,60,74,32,64,56,56,60,62,72,52,50,46,30,66,44,74,34,80,78,26,74,82,64,62,58,56,94,18,70,72,58,60,60,44,16,68,64,34,26,56,48,94,58,76,98,50,70,58,2,22,52,78,-8,42,76,12,66,80,58,94,50,78,90,58,68,44,66,98,78,26,76,92,90,50,52,26,60,52,82,42,74,44,30,56,84,24,28,96,22,48,50,8,26,32,64,88,20,70,38,22,86,22,74,68,90,36,50,16,52,72,36,60,18,46,64,92,22,66,80,0,72,50,86,22,70,78,56,36,28,32,44,62,68,56,14,42,42,106,42,78,72,94,40,52,106,64,72,96,44,66,46,18,0,54,28,62,52,32,68,66,24,46,68,66,70,82,10,28,58,60,6,40,64,78,86,24,50,50,64,66,54,2,18,52,90,64,54,52,74,8,70,132,60,48,66,88,14,94,34,64,78,-16,32,46,50,56,78,78,72,58,36,24,74,52,78,66,52,62,80,2,84,32,54,72,30,30,48,36,66,60,10,62,40,76,68,14,30,54,38,68,64,56,16,72,82,66,72,28,58,48,74,86,36,76,26,92,30,136,48,76,86,58,38,34,44,78,94,62,46,50,40,14,72,18,32,64,52,74,80,80,90,110,56,24,34,40,52,86,66,22,40,62,132,58,54,8,26,98,56,54,32,46,18,36,72,34,72,50,14,62,74,46,68,70,24,70,76,60,78
AAL,50,0,42,60,56,26,18,36,40,48,66,54,38,88,50,-22,-18,-2,32,60,4,30,12,24,110,38,120,32,74,50,74,-22,52,54,40,78,-42,86,48,48,44,22,76,36,38,70,76,6,-20,12,0,74,64,-38,60,66,46,92,36,84,36,98,46,70,62,22,84,6,16,30,2,94,48,92,4,38,96,-12,-42,52,-20,92,46,54,90,16,54,72,-10,80,38,36,2,2,0,66,60,-20,-6,86,-44,20,12,66,54,20,42,12,10,6,64,30,66,64,42,34,40,64,44,60,46,-22,122,60,50,74,6,46,-4,26,38,58,52,74,14,38,80,62,-2,10,-22,-16,60,60,66,-16,32,80,32,-18,52,-34,2,94,78,50,-4,2,-20,0,76,78,-24,-38,6,-12,82,28,-14,68,22,66,62,58,76,124,-4,86,30,14,76,60,92,28,66,42,18,50,50,68,54,74,64,-6,60,92,90,60,62,70,36,58,46,106,68,68,70,58,76,76,66,36,58,18,62,78,90,18,64,44,74,78,44,-8,44,74,-58,18,92,6,34,54,68,46,-16,18,82,28,68,62,88,22,68,48,48,60,116,68,66,84,40,28,12,84,80,66,-20,50,48,54,12,62,-22,6,54,-16,46,64,52,54,46,30,104,28,50,-10,56,78,-8,14,106,-46,44,64,90,92,-26,82,30,22,28,80,66,4,68,38,50,-2,10,116,56,86,-38,-4,14,30,84,12,42,80,56,10,32,90,50,52,8,44,58,88,74,36,36,86,32,-50,-14,46,-20,56,66,20,56,28,6,50,76,72,92,94,10,66,72,76,-22,70,50,74,52,44,58,8,22,96,74,-28,4,-6,46,100,10,4,84,26,82,50,32,12,54,74,-28,66,14,40,60,-16,54,62,70,66,60,40,68,60,6,18,22,74,70,82,68,-6,92,42,50,58,-4,62,-8,36,74,42,58,92,8,60,48,86,28,-42,60,22,-2,-6,78,84,36,96,78,58,16,32,42,36,32,82,76,10,44,66,52,40,44,80,74,14,32,-2,6,54,68,84,92,100,124,-8,26,8,26,66,86,90,94,60,32,56,74,66,20,20,24,42,10,-6,10,86,52,68,70,-46,-24,64,96,20,-16,50,24,-6,72,64,60,106,-30,56,76,2,76,60,-6,38,32,74,38
AAP,24,42,0,46,62,12,16,20,36,22,36,32,50,70,52,-8,0,44,42,14,14,18,32,48,60,40,64,56,44,18,50,-14,36,54,20,60,2,36,68,16,46,32,56,46,30,72,52,24,16,18,28,54,42,-26,42,82,42,50,4,68,42,64,34,38,40,42,60,-18,12,22,0,78,48,56,42,22,64,20,-38,42,8,50,24,48,28,22,-6,48,14,44,14,40,22,2,14,40,32,-18,2,76,-26,50,22,52,38,8,32,30,34,36,18,14,86,60,28,34,78,58,30,22,24,22,56,58,50,56,48,34,-8,20,22,36,36,46,54,52,46,40,4,12,0,6,54,46,32,-40,20,42,40,14,52,28,16,74,70,36,4,14,-2,10,40,50,-8,-4,0,4,66,22,0,54,12,62,40,58,58,58,12,70,8,2,42,46,70,26,26,26,54,66,24,70,26,22,52,-2,38,60,50,46,46,108,12,50,46,50,72,62,14,22,58,56,76,34,38,46,52,46,68,-18,46,48,82,66,6,4,50,54,-26,18,78,-18,42,54,76,48,6,32,62,16,36,50,56,18,52,52,56,48,72,70,50,62,32,36,8,76,62,42,0,36,60,34,36,32,2,24,58,16,32,28,46,72,32,32,56,18,62,8,22,58,36,14,54,-28,60,56,40,74,-12,66,18,10,12,48,52,-10,48,12,26,10,-8,42,30,50,6,-10,10,34,72,6,18,44,52,0,28,50,34,16,36,42,66,56,48,18,20,50,14,-12,4,30,18,50,58,10,22,24,66,68,64,44,58,58,-10,56,54,58,-4,40,54,52,28,82,48,18,38,56,70,6,24,8,56,74,2,28,76,26,44,60,22,56,40,64,16,42,2,64,60,-16,28,56,46,64,34,20,48,40,-2,38,20,42,64,54,44,-4,56,68,38,60,-20,78,0,10,48,26,8,44,10,56,58,48,16,-10,72,28,30,26,38,68,46,70,66,42,14,40,52,66,34,56,44,14,20,52,56,34,48,76,38,14,68,-22,2,42,52,62,60,56,54,6,50,42,26,42,66,46,58,44,18,52,78,46,14,46,4,34,18,2,36,58,46,52,48,-20,-4,48,56,32,30,44,26,-8,34,24,54,66,-16,36,48,28,70,60,8,24,22,48,22
AAPL,88,60,46,0,48,8,40,68,82,54,86,74,46,54,72,16,14,40,48,24,10,38,44,70,92,48,42,58,64,38,116,10,74,84,48,68,10,84,76,70,26,32,80,44,70,118,72,38,18,64,18,76,56,6,62,56,46,66,90,86,50,64,24,60,76,60,108,36,30,34,34,62,44,90,42,36,84,34,2,72,10,82,70,98,96,24,28,52,2,62,52,40,12,36,16,22,64,2,26,86,-8,26,34,72,-8,50,42,62,6,36,60,38,56,78,58,10,48,78,52,50,46,20,70,38,62,58,30,30,36,48,62,40,52,42,48,44,92,18,30,0,-6,26,62,66,72,4,14,54,54,16,64,10,64,80,102,60,22,18,20,6,76,106,28,-12,48,0,74,52,-6,56,40,78,60,92,74,80,16,74,62,56,48,68,64,36,54,70,24,46,68,90,46,56,50,16,58,86,70,94,94,76,54,38,72,90,64,62,46,34,40,68,96,60,46,56,72,96,46,36,104,44,94,92,10,18,42,58,-14,30,92,6,42,70,52,50,16,66,114,46,64,40,80,50,62,36,64,70,104,50,66,42,32,50,26,78,88,60,22,48,78,28,22,130,0,48,48,28,8,76,96,54,12,58,68,38,56,14,72,84,52,48,48,-6,72,102,32,80,30,46,46,72,30,104,90,56,80,36,78,50,50,64,70,40,10,52,48,46,84,42,44,58,52,60,46,84,70,96,20,46,92,96,82,58,58,70,36,12,8,52,-8,82,44,40,52,16,32,72,86,54,74,120,56,44,64,70,-16,92,86,70,60,28,28,16,44,54,64,-2,12,48,34,60,56,38,76,40,66,80,58,64,70,72,-12,94,22,52,64,-8,64,78,48,80,50,84,94,66,28,36,32,34,70,70,64,36,88,34,66,68,46,90,22,30,52,10,98,54,24,64,46,82,66,-6,34,68,56,22,48,82,46,78,104,50,48,48,54,34,66,98,52,16,52,70,76,70,34,52,78,42,52,36,28,74,94,62,54,62,66,-2,66,22,26,46,58,74,82,84,62,70,90,74,40,32,38,62,22,-4,22,56,80,46,82,-10,-12,62,78,52,46,48,32,18,68,60,62,62,-4,74,80,14,78,68,34,60,72,50,58
ABBV,72,56,62,48,0,50,84,78,94,54,74,64,62,58,64,26,34,54,58,62,48,52,56,48,54,62,56,54,68,70,60,-2,60,70,76,90,10,72,28,60,76,56,58,26,58,60,44,56,40,28,32,46,50,16,64,56,44,66,72,66,84,52,74,56,50,50,86,22,52,42,54,64,52,56,36,68,74,42,-24,68,18,60,44,78,64,64,56,62,20,56,18,66,38,18,4,72,46,12,20,70,16,80,14,70,32,50,38,48,16,4,58,50,68,70,66,18,68,96,80,66,54,40,58,42,70,70,20,96,20,62,42,32,26,46,28,36,70,28,40,22,34,20,64,24,64,28,40,82,52,30,76,36,32,52,66,30,70,24,32,42,56,58,14,18,26,32,50,30,-2,52,38,62,58,96,44,46,46,70,30,54,50,70,60,76,34,54,64,58,46,74,52,60,80,30,88,66,56,82,78,78,64,40,72,72,74,48,46,36,40,72,70,40,62,58,54,66,48,42,74,40,70,54,22,12,66,56,-6,94,48,20,82,66,36,58,56,72,50,48,76,50,62,82,70,24,96,90,64,42,50,74,60,82,38,38,62,24,8,54,80,24,48,66,28,58,36,4,22,42,78,72,48,54,50,30,72,18,68,54,38,36,68,22,50,70,62,34,16,64,42,64,42,48,62,12,44,52,78,18,68,82,54,62,-2,18,32,56,72,32,26,26,70,46,46,70,54,76,42,68,44,30,42,38,28,46,40,26,-6,58,16,66,38,30,26,60,60,68,76,62,52,44,20,38,28,36,32,42,54,64,54,38,42,44,56,62,66,6,42,8,72,62,44,46,42,46,54,86,52,58,64,62,20,74,50,40,78,-10,54,46,80,50,62,48,30,60,24,32,62,52,66,74,46,38,72,26,62,34,42,88,12,30,52,28,78,72,14,30,62,64,48,16,60,66,24,62,64,74,54,66,56,78,64,36,74,60,62,62,78,40,14,50,40,64,48,76,64,52,38,28,28,48,66,52,62,68,66,30,52,32,62,44,68,84,68,70,62,74,60,58,30,42,58,78,60,28,48,40,50,60,26,10,26,74,64,74,50,56,42,16,76,60,56,42,8,26,58,48,62,56,16,58,44,68,56
ABC,48,26,12,8,50,0,56,38,60,12,38,8,34,36,30,14,20,16,58,32,38,18,38,68,36,70,26,50,34,24,30,-48,38,24,46,62,4,22,2,54,70,46,22,16,34,14,14,24,18,12,28,36,12,16,58,54,0,46,52,30,42,32,60,28,34,28,40,18,22,40,56,14,16,42,28,114,14,28,-2,58,38,44,34,72,44,68,24,52,-8,40,44,66,26,10,0,20,32,8,26,40,16,54,12,34,18,32,4,14,-14,12,28,18,12,24,46,30,52,16,98,48,8,16,26,0,0,52,44,78,-4,50,38,10,0,40,28,30,40,44,30,24,16,-2,78,28,36,20,26,50,34,-2,34,12,16,-10,20,28,48,12,22,16,18,22,-12,16,46,0,28,18,8,20,26,20,32,46,-2,42,14,20,34,28,44,36,52,32,16,10,54,28,26,-6,46,38,82,24,58,6,18,30,26,32,38,12,16,16,32,38,52,14,12,72,50,14,34,34,40,50,28,40,56,28,28,50,0,2,82,36,12,88,42,16,70,32,56,46,42,58,12,46,24,14,20,64,32,28,28,38,30,12,24,28,68,52,46,36,44,24,6,34,32,42,32,14,58,32,60,2,14,-18,18,30,26,62,6,24,90,22,34,28,38,6,40,18,48,46,12,4,6,4,38,42,22,46,26,-8,18,136,50,14,52,54,28,38,16,28,18,44,42,10,28,16,50,60,28,40,42,36,24,22,20,30,18,62,8,62,2,4,-16,30,4,34,-2,6,22,40,-8,36,34,46,32,42,14,32,12,12,26,40,60,40,56,38,38,56,52,32,34,8,8,12,46,28,18,24,26,18,42,44,16,8,44,28,2,38,-8,54,32,-6,28,-6,34,10,30,8,10,54,40,30,16,36,20,12,10,64,32,-4,38,16,28,38,48,30,20,18,52,48,42,34,22,30,44,26,26,60,4,72,2,18,18,38,20,44,68,10,26,42,36,28,30,66,14,28,34,42,44,32,70,32,42,6,24,64,50,52,34,30,16,14,66,32,66,22,34,36,46,56,40,32,28,58,16,8,46,56,58,14,8,42,48,90,12,0,18,24,24,18,14,44,26,50,24,16,28,32,6,10,16,38,32,16,22,62,38,30,60
ABMD,52,18,16,40,84,56,0,70,40,40,64,42,46,48,34,-6,6,14,28,32,4,26,36,44,28,70,20,36,34,58,58,-32,36,66,58,52,-4,40,34,46,36,24,22,30,20,28,28,10,14,38,22,60,46,-18,36,60,48,52,60,30,72,30,58,44,54,26,58,18,16,52,74,38,40,46,6,36,50,10,-46,74,8,52,24,30,56,56,52,48,-2,38,42,54,12,-10,-2,60,26,-14,8,50,-22,56,18,56,6,62,16,22,-12,-16,52,52,20,32,34,24,70,54,72,68,38,4,22,28,32,64,-16,72,24,56,48,22,14,28,8,4,44,10,26,8,8,2,50,32,68,56,34,54,36,-14,46,12,12,34,46,34,14,-4,-14,0,30,54,-14,8,52,-10,46,52,-6,24,28,38,24,40,20,48,16,56,38,52,46,50,50,28,26,40,30,28,30,54,44,54,76,2,68,48,46,36,36,22,52,6,44,52,44,44,30,22,12,56,42,20,46,22,44,50,26,66,66,34,20,38,0,-2,40,30,-28,56,56,-22,68,52,36,36,72,56,38,54,66,20,36,80,66,0,72,60,44,6,32,54,28,50,2,12,56,-2,-12,42,50,18,12,54,2,60,14,-16,-26,14,26,38,42,42,32,8,84,42,40,54,34,20,28,-16,30,72,62,26,10,44,16,38,0,34,32,-14,44,54,50,-12,88,38,46,54,-2,10,12,24,58,30,-2,54,50,42,52,48,46,50,16,56,34,60,34,90,48,40,10,-4,-12,50,10,8,50,24,44,46,32,38,36,42,52,56,16,22,26,38,0,38,60,30,32,16,30,42,26,28,38,-14,-2,-6,50,40,-16,48,36,18,46,78,24,16,44,46,12,52,20,52,32,-14,42,8,66,30,54,34,58,44,10,20,58,26,34,40,18,50,36,48,46,10,4,54,16,34,50,30,52,64,-24,46,34,40,38,-28,18,66,-2,52,36,30,42,32,40,38,70,-26,4,20,58,48,34,54,-16,50,26,46,50,42,62,6,42,20,50,44,52,52,28,24,34,8,30,10,28,38,40,50,40,54,42,22,10,38,12,34,12,54,50,-2,-34,56,32,58,42,-8,-4,56,16,24,0,34,12,2,66,8,28,28,-16,44,52,14,38,36,10,54,58,44,44
ABT,88,36,20,68,78,38,70,0,102,94,78,44,86,50,66,36,40,28,96,32,28,58,62,50,50,52,26,48,58,50,56,-6,52,78,84,46,26,80,64,108,72,72,40,12,72,56,58,40,44,44,32,74,80,26,68,64,42,54,110,54,84,60,66,42,58,34,90,58,40,60,108,44,60,42,38,52,40,60,4,72,38,46,90,72,54,52,22,60,14,54,44,48,42,34,44,34,60,16,34,68,28,40,26,74,10,98,18,56,-12,-4,64,64,64,46,78,-8,76,86,52,48,36,28,60,22,32,70,38,74,-6,108,46,32,22,58,38,20,58,10,36,36,36,18,58,34,82,54,18,90,88,38,64,-24,72,36,42,24,58,36,4,52,46,54,32,28,92,14,46,48,22,36,26,54,52,64,44,50,40,58,60,66,54,68,38,86,60,60,44,26,58,72,50,60,48,44,42,48,56,70,72,52,104,24,82,68,50,30,44,44,22,66,60,12,22,56,38,68,34,96,88,18,46,66,2,22,48,52,14,48,66,38,90,100,36,68,50,68,64,80,52,14,56,102,74,8,96,94,74,36,28,60,46,78,66,42,36,14,20,46,96,4,30,78,34,48,28,46,-14,16,28,48,24,86,66,-12,82,38,76,42,72,70,50,24,52,38,56,40,24,34,82,102,34,74,70,24,40,32,102,56,112,56,26,42,20,62,40,62,68,50,44,28,18,108,24,54,50,86,44,40,94,44,46,72,26,32,68,34,-10,62,12,64,44,36,14,82,36,32,48,60,34,60,14,4,44,42,22,36,50,54,40,48,42,74,80,64,54,0,28,48,92,58,56,50,42,-6,76,108,56,42,46,68,26,70,18,60,52,2,40,12,42,40,104,58,52,40,36,38,64,54,46,56,36,100,50,36,90,52,60,62,18,72,28,32,70,52,6,24,32,30,96,14,18,72,46,92,44,54,24,56,52,58,144,16,38,20,78,56,58,86,36,62,36,114,46,32,88,70,38,40,52,46,58,50,42,46,56,34,52,40,44,30,46,80,52,78,90,82,58,40,44,30,52,80,50,14,10,56,70,48,44,30,26,62,38,56,62,26,8,50,72,46,38,36,20,66,32,54,60,76,40,112,48,50,88
ACN,100,40,36,82,94,60,40,102,0,104,98,60,94,64,96,30,36,54,92,66,70,54,88,82,58,60,32,90,60,44,72,8,78,100,54,122,22,90,48,96,68,100,62,40,92,92,68,82,20,60,58,88,82,22,94,66,56,76,92,64,92,64,50,64,82,48,118,30,56,86,64,62,84,80,50,58,66,88,20,84,36,88,110,112,88,92,28,90,44,54,78,46,64,74,50,56,100,46,48,84,20,42,0,94,24,92,32,68,8,24,74,76,86,76,74,8,90,86,70,62,50,38,64,58,58,106,56,56,28,72,102,76,70,58,26,54,82,12,50,22,36,14,60,40,78,44,34,84,98,36,116,8,80,42,70,38,60,72,20,54,70,88,32,24,62,16,60,58,12,48,42,84,76,82,44,78,30,68,70,66,88,66,66,94,66,66,50,64,74,80,76,54,68,56,90,68,70,92,92,80,98,48,70,88,72,48,78,62,40,68,82,42,28,94,64,96,50,74,102,46,90,68,4,18,80,60,42,60,86,50,84,96,64,72,26,106,82,88,70,68,58,78,72,36,88,112,98,64,58,44,68,108,64,52,86,32,46,72,90,38,18,98,66,70,62,66,12,38,76,96,8,96,62,38,58,48,82,90,66,56,82,28,86,52,66,60,44,52,88,140,52,84,88,52,64,60,110,54,72,88,66,50,42,66,52,94,74,56,54,14,30,80,32,78,104,134,80,72,66,46,82,50,46,76,72,40,14,66,-2,110,56,66,32,82,30,66,102,58,36,62,26,20,54,62,26,60,64,102,94,44,26,84,108,66,80,2,34,74,62,94,94,68,70,32,54,90,82,54,92,84,6,104,22,70,86,-4,40,48,66,58,114,70,64,72,54,36,34,64,72,88,70,66,84,36,88,76,48,112,40,70,56,28,84,64,30,56,64,52,84,22,42,92,58,88,82,72,36,88,70,84,94,64,84,40,98,92,88,58,42,68,72,90,70,56,116,80,50,68,32,72,86,52,70,78,70,72,66,64,44,64,60,92,92,100,138,72,80,52,28,52,82,118,28,6,52,58,74,56,60,22,36,74,64,102,76,56,48,64,66,80,52,50,20,54,60,36,92,64,68,66,82,72,70
ADBE,76,48,22,54,54,12,40,94,104,0,80,66,100,36,134,34,32,30,62,42,36,46,86,68,46,56,20,48,84,58,72,16,72,110,54,62,-2,70,64,138,52,102,10,24,74,48,42,40,12,68,48,50,68,8,78,46,56,58,74,60,56,66,62,42,62,48,82,60,26,86,78,36,72,64,38,36,42,68,26,66,24,48,130,96,44,62,24,62,34,22,46,46,58,78,50,38,64,44,30,56,18,44,0,68,4,100,28,40,-16,-4,98,112,62,60,68,-6,70,76,30,56,54,10,40,12,20,64,24,54,14,84,40,48,46,34,14,18,46,32,40,34,48,-2,40,48,82,46,70,72,68,36,66,10,90,34,62,30,40,46,8,30,64,56,40,30,68,20,40,20,46,34,38,42,90,46,30,54,28,44,88,76,46,78,70,90,48,46,30,50,98,60,68,54,16,68,56,30,58,76,76,46,108,20,80,64,34,60,40,34,24,58,62,30,32,74,60,54,30,42,64,58,44,60,-10,20,40,44,12,40,70,68,64,92,54,76,30,84,68,122,62,52,42,86,52,16,86,100,90,30,54,40,26,80,48,48,58,10,28,46,64,12,20,84,26,50,24,42,22,30,12,68,16,100,34,10,58,32,46,50,58,70,54,12,58,68,78,44,20,44,92,122,20,54,64,36,54,20,100,44,56,52,52,26,56,66,26,92,58,74,48,22,14,64,32,64,94,124,70,56,78,58,44,38,32,40,90,32,-6,78,26,78,44,62,38,138,32,54,70,46,36,54,18,4,16,22,10,28,64,62,82,6,10,130,112,50,64,-2,4,50,58,54,62,68,62,26,68,90,70,20,56,70,18,60,26,30,70,10,26,42,26,54,92,42,64,32,52,22,62,32,52,52,54,80,58,34,116,42,36,84,32,58,26,44,52,28,10,54,36,32,98,10,48,90,22,60,58,42,52,44,44,54,78,44,32,24,104,38,58,58,6,70,32,102,58,64,90,86,62,50,50,68,44,52,62,66,52,44,24,46,36,50,76,66,76,64,124,84,46,20,14,44,86,116,56,22,8,42,68,36,64,14,32,42,22,82,62,52,4,52,58,34,22,46,10,66,52,42,64,54,38,82,58,46,66
